titre,acronym,rankc
Workshop in Information Security Theory and Practices,WISTP,C
International Workshop on Issues in the Theory of Security,WITS,C
International Conference on Knowledge Discovery and Data Mining,WKDD,C
International Workshop on Mobile Commerce and Services,WMCS,C
World Multi-Conference on Systemics Cybernetics and Informatics,WMSCI,A
Workshop on Logic Language Information and Computation,WoLLIC,C
Workshop on Object-Oriented Development,WOOD,C
IEEE International Conference on Parallel Processing Workshops,WoPP,C
IEEE International Workshop on Object-Oriented Real-Time Dependable Systems,WORDS,B
World Conference on Information Systems and Technologies,WorldCIST,C
World Congress in Computer Science Computer Engineering and Applied Computing,WORLDCOMP,A
International Workshop on Security in Information Systems,WOSIS,C
International Workshop on Software Quality,WoSQ,C
IAVoSS Workshop On Trustworthy Elections,WOTE,C
IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,WoWMoM,B
Workshop on Parameterized Complexity,WPC,C
International Symposium on Wireless Personal Multimedia Communications,WPMC,C
Workshop on Robust Shape Operations,WRSO,C
Winter Simulation Conference,WSC,C
International Conferences in Central Europe on Computer Graphics Visualization and Computer Vision,WSCG,C
ACM International Conference on Web Search and Data Mining,WSDM,A
IEEE International Symposium on Web Systems Evolution,WSE,C
Workshop on Theoretical and Algorithmic Aspects of Sensor and Ad-hoc Networks,WTASA,C
International Conference on Worldwide Computing and Its Applications,WWCA,C
International Conference on Wired / Wireless Internet Communications,WWIC,B
International World Wide Web Conference,WWW,A*
International Workshop on Schema Languages for XML,X-Schemas,C
Conference on Agile Software Development,XP,B
International Conference on Agile Software Development (chnaged in 2010 was International Conference on extreme Programming and Flexible Processes in Software Engineering),XP,B
International XML Database Symposium,Xsym,C
